id,dot,trial,response,response_as_string,trial_order,condition,group,property,trial_type,age_exact,age_year,age_categorical,gender,race_bin,hispanic
10019,2018-03-17,category_check4,1,correct,4,generic,NA,NA,attn_check,5.83,5,5,female,black,0
10019,2018-03-17,category_check3,1,correct,3,generic,NA,NA,attn_check,5.83,5,5,female,black,0
10019,2018-03-17,test_mentioned_tree,0,no,8,generic,mentioned,tree,test,5.83,5,5,female,black,0
10019,2018-03-17,test_unmentioned_pizza,0,no,5,generic,unmentioned,pizza,test,5.83,5,5,female,black,0
10019,2018-03-17,test_mentioned_pizza,1,yes,6,generic,mentioned,pizza,test,5.83,5,5,female,black,0
10019,2018-03-17,test_unmentioned_tree,0,no,7,generic,unmentioned,tree,test,5.83,5,5,female,black,0
10019,2018-03-17,adhoc_attn_check2,1,correct,16,generic,NA,NA,adhoc,5.83,5,5,female,black,0
10019,2018-03-17,adhoc_test3,2,pragmatic,17,generic,NA,NA,adhoc,5.83,5,5,female,black,0
10019,2018-03-17,adhoc_test4,2,pragmatic,18,generic,NA,NA,adhoc,5.83,5,5,female,black,0
10019,2018-03-17,test_unmentioned_paint,0,no,9,generic,unmentioned,paint,test,5.83,5,5,female,black,0
10019,2018-03-17,test_mentioned_paint,1,yes,10,generic,mentioned,paint,test,5.83,5,5,female,black,0
10019,2018-03-17,test_mentioned_piano,1,yes,11,generic,mentioned,piano,test,5.83,5,5,female,black,0
10019,2018-03-17,test_unmentioned_piano,0,no,12,generic,unmentioned,piano,test,5.83,5,5,female,black,0
10019,2018-03-17,adhoc_attn_check1,1,correct,13,generic,NA,NA,adhoc,5.83,5,5,female,black,0
10019,2018-03-17,adhoc_test1,2,pragmatic,14,generic,NA,NA,adhoc,5.83,5,5,female,black,0
10019,2018-03-17,adhoc_test2,2,pragmatic,15,generic,NA,NA,adhoc,5.83,5,5,female,black,0
10019,2018-03-17,category_check1,1,correct,1,generic,NA,NA,attn_check,5.83,5,5,female,black,0
10019,2018-03-17,category_check2,1,correct,2,generic,NA,NA,attn_check,5.83,5,5,female,black,0
10020,2018-03-17,test_mentioned_tree,1,yes,10,specific,mentioned,tree,test,5.2,5,5,male,mixed,0
10020,2018-03-17,test_unmentioned_paint,0,no,11,specific,unmentioned,paint,test,5.2,5,5,male,mixed,0
10020,2018-03-17,test_mentioned_paint,1,yes,12,specific,mentioned,paint,test,5.2,5,5,male,mixed,0
10020,2018-03-17,test_unmentioned_tree,0,no,9,specific,unmentioned,tree,test,5.2,5,5,male,mixed,0
10020,2018-03-17,category_check1,1,correct,1,specific,NA,NA,attn_check,5.2,5,5,male,mixed,0
10020,2018-03-17,category_check2,1,correct,2,specific,NA,NA,attn_check,5.2,5,5,male,mixed,0
10020,2018-03-17,category_check3,1,correct,3,specific,NA,NA,attn_check,5.2,5,5,male,mixed,0
10020,2018-03-17,category_check4,1,correct,4,specific,NA,NA,attn_check,5.2,5,5,male,mixed,0
10020,2018-03-17,test_mentioned_pizza,0,no,5,specific,mentioned,pizza,test,5.2,5,5,male,mixed,0
10020,2018-03-17,test_unmentioned_pizza,0,no,6,specific,unmentioned,pizza,test,5.2,5,5,male,mixed,0
10020,2018-03-17,test_unmentioned_piano,0,no,7,specific,unmentioned,piano,test,5.2,5,5,male,mixed,0
10020,2018-03-17,test_mentioned_piano,1,yes,8,specific,mentioned,piano,test,5.2,5,5,male,mixed,0
10020,2018-03-17,adhoc_attn_check1,1,correct,13,specific,NA,NA,adhoc,5.2,5,5,male,mixed,0
10020,2018-03-17,adhoc_test1,2,pragmatic,14,specific,NA,NA,adhoc,5.2,5,5,male,mixed,0
10020,2018-03-17,adhoc_test2,2,pragmatic,15,specific,NA,NA,adhoc,5.2,5,5,male,mixed,0
10020,2018-03-17,adhoc_attn_check2,1,correct,16,specific,NA,NA,adhoc,5.2,5,5,male,mixed,0
10020,2018-03-17,adhoc_test3,2,pragmatic,17,specific,NA,NA,adhoc,5.2,5,5,male,mixed,0
10020,2018-03-17,adhoc_test4,2,pragmatic,18,specific,NA,NA,adhoc,5.2,5,5,male,mixed,0
10021,2018-03-18,category_check2,1,correct,2,specific,NA,NA,attn_check,4.33,4,4,male,asian,0
10021,2018-03-18,category_check3,0,wrong,3,specific,NA,NA,attn_check,4.33,4,4,male,asian,0
10021,2018-03-18,category_check4,1,correct,4,specific,NA,NA,attn_check,4.33,4,4,male,asian,0
10021,2018-03-18,category_check1,0,wrong,1,specific,NA,NA,attn_check,4.33,4,4,male,asian,0
10021,2018-03-18,adhoc_test1,2,pragmatic,14,specific,NA,NA,adhoc,4.33,4,4,male,asian,0
10021,2018-03-18,adhoc_test2,2,pragmatic,15,specific,NA,NA,adhoc,4.33,4,4,male,asian,0
10021,2018-03-18,adhoc_attn_check2,1,correct,16,specific,NA,NA,adhoc,4.33,4,4,male,asian,0
10021,2018-03-18,adhoc_test3,2,pragmatic,17,specific,NA,NA,adhoc,4.33,4,4,male,asian,0
10021,2018-03-18,test_unmentioned_pizza,0,no,5,specific,unmentioned,pizza,test,4.33,4,4,male,asian,0
10021,2018-03-18,test_mentioned_pizza,0,no,6,specific,mentioned,pizza,test,4.33,4,4,male,asian,0
10021,2018-03-18,test_unmentioned_paint,0,no,7,specific,unmentioned,paint,test,4.33,4,4,male,asian,0
10021,2018-03-18,test_mentioned_paint,0,no,8,specific,mentioned,paint,test,4.33,4,4,male,asian,0
10021,2018-03-18,test_mentioned_piano,0,no,9,specific,mentioned,piano,test,4.33,4,4,male,asian,0
10021,2018-03-18,test_unmentioned_piano,0,no,10,specific,unmentioned,piano,test,4.33,4,4,male,asian,0
10021,2018-03-18,test_unmentioned_tree,0,no,11,specific,unmentioned,tree,test,4.33,4,4,male,asian,0
10021,2018-03-18,test_mentioned_tree,0,no,12,specific,mentioned,tree,test,4.33,4,4,male,asian,0
10021,2018-03-18,adhoc_attn_check1,1,correct,13,specific,NA,NA,adhoc,4.33,4,4,male,asian,0
10021,2018-03-18,adhoc_test4,2,pragmatic,18,specific,NA,NA,adhoc,4.33,4,4,male,asian,0
10022,2018-03-18,adhoc_test3,2,pragmatic,17,specific,NA,NA,adhoc,4.85,4,4,female,white,0
10022,2018-03-18,adhoc_test4,2,pragmatic,18,specific,NA,NA,adhoc,4.85,4,4,female,white,0
10022,2018-03-18,category_check1,1,correct,1,specific,NA,NA,attn_check,4.85,4,4,female,white,0
10022,2018-03-18,category_check2,1,correct,2,specific,NA,NA,attn_check,4.85,4,4,female,white,0
10022,2018-03-18,category_check3,1,correct,3,specific,NA,NA,attn_check,4.85,4,4,female,white,0
